Tokenized Statement,Label
"['House', 'Speaker', 'Kevin', 'McCarthy', 'has', 'quietly', 'implemented', 'a', 'pay', 'raise', 'for', 'members', 'of', 'Congress', 'that', 'could', 'be', '$', '30000', 'per', 'person', '.', 'It', 'circumvents', 'the', 'Constitution', 'by', 'instead', 'reimbursing', 'their', 'rent', 'utilities', ' ', 'meals', '.']",barelytrue
"['This', 'year', 'there', 'have', 'been', '13000', 'deaths', 'by', 'gun', 'violence', '.', 'The', 'vast', 'majority', '95', 'of', 'them', 'are', 'in', 'inner', 'cities', 'where', 'you', 'have', 'some', 'of', 'the', 'strictest', 'gun', 'control', 'laws', 'in', 'the', 'country', '.']",barelytrue
"['Democrats', 'introduced', 'a', 'bill', 'that', 'would', 'ban', 'detaining', 'gay', 'illegal', 'immigrants', '.']",barelytrue
"['Texas', 'Gov.', 'Greg', 'Abbott', 'cut', '$', '211', 'million', 'in', 'mental', 'health', 'funding', '.']",barelytrue
"['Addressing', 'the', 'impact', 'of', 'the', 'House', 'GOP', 'debtceiling', 'bill', 'on', 'veterans', 'programs', 'I', 'm', 'dead', 'serious', 'that', 'were', 'not', 'cutting', 'veterans', 'and', 'I', 'mean', 'it', '.']",barelytrue
"['Florida', 'lawmakers', 'danced', 'after', 'passing', 'antitrans', 'legislation', '.']",barelytrue
"['Says', 'Social', 'Security', 'is', 'a', 'legal', 'Ponzi', 'scheme', '.']",barelytrue
"['Minority', 'Leader', 'Robert', 'Reives', 'sent', 'out', 'a', 'statement', ' ', 'encouraging', 'us', 'to', 'resign', 'andor', 'face', 'a', 'primary', 'challenge', '.']",barelytrue
"['Buyers', 'with', 'good', 'credit', 'scores', 'will', 'pay', 'even', 'more', 'to', 'cover', 'for', 'those', 'with', 'bad', 'credit', '.']",barelytrue
"['Face', 'masks', 'may', 'raise', 'risk', 'of', 'stillbirths', 'testicular', 'dysfunction', 'and', 'cognitive', 'decline', 'study', 'warns', '.']",barelytrue
"['Oil', 'pulling', 'improves', 'overall', 'oral', 'health', 'strengthens', 'gums', 'helps', 'prevent', 'cavities', 'whitens', 'teeth', 'and', 'reduces', 'plaque', '.']",barelytrue
"['BlackRock', 'owns', '59', 'million', 'shares', 'of', 'Dominion', 'Voting', 'Systems', 'and', '45.7', 'million', 'shares', 'of', 'Fox', 'News', '.', 'BlackRock', 'sued', 'itself', 'and', 'fired', 'Tucker', 'Carlson', 'as', 'part', 'of', 'the', 'lawsuit', '.']",barelytrue
"['The', 'abortion', 'pill', 'has', 'been', 'linked', 'to', 'the', 'deaths', 'of', 'at', 'least', '28', 'women', 'in', 'the', 'U.S.', 'alone', '.']",barelytrue
"['George', 'Soros', 'is', 'banned', 'in', 'Russia', 'Pakistan', 'Turkey', 'Hungary', 'Poland', 'and', 'the', 'Philippines', '.']",barelytrue
"['The', 'RESTRICT', 'Act', 'would', 'allow', 'the', 'U.S.', 'government', 'to', 'charge', 'you', 'with', 'a', 'felony', 'and', '$', '1', 'million', 'for', 'having', 'a', 'VPN', '.']",barelytrue
"['Fewer', 'people', 'get', 'hurt', 'playing', 'rugby', 'than', 'American', 'football', '.']",barelytrue
"['La', 'NASA', 'advierte', 'que', 'el', 'sol', 'podra', 'dejar', 'de', 'brillar', 'y', 'causar', 'una', 'catstrofe', '.']",barelytrue
"['Latino', 'inmigrante', 'recin', 'llegado', ' ', 'Si', 'eres', 'inmigrante', 'en', 'Estados', 'Unidos', 'y', 'llevas', 'ms', 'de', 'tres', 'meses', 'ah', 'podras', 'calificar', 'para', 'obtener', 'cupones', 'de', 'comida', '.']",barelytrue
"['New', 'Kansas', 'law', 'will', 'authorize', 'genital', 'inspections', 'of', 'children', 'in', 'order', 'for', 'kids', 'to', 'play', 'sports', '.']",barelytrue
"['Video', 'shows', 'Sen.', 'Chris', 'Murphy', 'running', 'away', 'because', 'Sen.', 'Ted', 'Cruz', 'said', 'just', 'shut', 'your', 'mouth', '.']",barelytrue
"['North', 'Carolina', 'ranks', 'last', 'in', 'the', 'country', 'in', 'K12', 'funding', '.']",barelytrue
"['Vitamins', 'are', 'nt', 'FDA', 'approved', 'but', 'Twinkies', 'are', '.']",barelytrue
"['Florida', 'man', 'charged', 'with', 'a', 'hate', 'crime', 'for', 'defacing', 'pride', 'crosswalk', '.']",barelytrue
"['In', 'the', 'U.S.', 'you', 're', 'not', 'allowed', 'to', 'own', 'a', 'machine', 'gun', '.']",barelytrue
"['Gov.', 'Ron', 'DeSantis', 'sealed', 'all', 'beaches', 'in', 'Florida', '.']",barelytrue
"['The', 'money', 'for', 'upgrades', 'to', 'the', 'Milwaukee', 'Brewers', 'stadium', 'in', 'Evers', 'budget', 'is', 'a', 'bipartisan', 'plan', '.']",barelytrue
"['Half', 'the', 'kids', 'in', 'this', 'country', 'when', 'they', 'graduate', 'ca', 'nt', 'read', 'their', 'diploma', '.']",barelytrue
"['The', 'First', 'Amendment', 'does', 'nt', 'allow', 'you', 'to', 'willingly', 'lie', '.']",barelytrue
"['Ron', 'DeSantis', 'wants', 'to', 'raise', 'the', 'retirement', 'age', 'to', '70', '.']",barelytrue
"['Energy', 'Secretary', 'Jennifer', 'Granholm', 'met', 'with', 'the', 'radical', 'green', 'energy', 'group', 'behind', 'the', 'gas', 'stove', 'ban', 'which', 'has', 'ties', 'to', 'the', 'Chinese', 'Communist', 'Party', '.']",barelytrue
"['The', 'Biden', 'administration', 'is', 'floating', 'a', 'new', 'climate', 'strategy', 'Do', 'nt', 'leave', 'your', 'house', '.']",barelytrue
"['The', 'youth', 'suicide', 'rate', 'has', 'increased', 'exponentially', 'alongside', 'trans', 'affirmation', '.', 'Trans', 'affirmation', 'causes', 'the', 'suicide', 'rate', 'not', 'the', 'other', 'way', 'around', '.']",barelytrue
"['Sen.', 'Marco', 'Rubio', 'signed', 'a', '2021', 'letter', 'that', 'supports', 'waivers', 'that', 'would', 'reduce', 'visual', 'track', 'inspections', '.']",barelytrue
"['Photo', 'of', 'electric', 'charging', 'station', 'powered', 'by', 'diesel', 'generator', 'is', 'emblematic', 'of', 'the', 'electric', 'vehicle', 'movement', '.']",barelytrue
"['The', 'train', 'that', 'derailed', 'in', 'Ohio', 'was', 'carrying', 'over', '300000', 'gallons', 'of', 'a', 'chemical', 'that', 'was', 'banned', 'in', '1974', '.']",barelytrue
"['We', 'used', 'to', 'rank', 'No', '.', '1', 'in', 'the', 'world', 'in', 'research', 'and', 'development', 'now', 'we', 'rank', 'No', '.', '9', '.', 'China', 'used', 'to', 'rank', 'No', '.', '8', 'now', 'it', 'ranks', 'No', '.', '2', '.']",barelytrue
"['In', 'the', 'month', 'since', 'Republicans', 'took', 'the', 'House', 'majority', 'they', 'are', 'trying', 'to', 'impose', 'a', '30', 'tax', 'on', 'everything', '.']",barelytrue
"['The', '87000', 'new', 'IRS', 'agents', 'who', 'were', 'supposed', 'to', 'only', 'target', 'the', 'rich', 'are', 'now', 'coming', 'after', 'waitresses', 'tips', '.']",barelytrue
"['Wind', 'farm', 'construction', 'is', 'a', 'possible', 'cause', 'of', 'dead', 'whales', 'washing', 'ashore', 'in', 'New', 'Jersey', '.']",barelytrue
"['I', 'got', 'a', 'list', 'of', '20', 'jurisdictions', 'that', 'defunded', 'the', 'police', 'to', 'the', 'tune', 'of', 'over', '$', '1', 'billion', 'total', '.']",barelytrue
"['The', 'United', 'Kingdom', 'banned', 'COVID19', 'booster', 'vaccines', 'for', 'people', 'under', '50', '.']",barelytrue
"['Joe', 'Bidens', 'war', 'on', 'American', 'energy', 'caused', 'this', 'crisis', 'and', 'his', 'only', 'response', 'has', 'been', 'to', 'drain', 'our', 'strategic', 'petroleum', 'reserve', 'to', 'its', 'lowest', 'level', 'since', '1983', '.']",barelytrue
"['New', 'governmentfunded', 'food', 'pyramid', 'says', 'Lucky', 'Charms', 'are', 'healthier', 'than', 'steak', '.']",barelytrue
"['Social', 'Security', 'has', 'nothing', 'to', 'do', 'with', 'the', 'deficit', 'or', 'the', 'national', 'debt', '.']",barelytrue
"['All', 'gender', 'affirming', 'care', 'for', 'children', 'is', '100', 'experimental', '.', 'There', 'are', 'zero', 'long', 'term', 'studies', 'on', 'the', 'effects', 'the', 'drugs', 'and', 'surgeries', 'will', 'have', 'on', 'them', '.']",barelytrue
"['California', 'has', 'twice', 'the', 'population', 'of', 'New', 'York', 'but', 'spends', '$', '260', 'billion', 'while', 'New', 'York', 'spends', '$', '220', 'billion', '.']",barelytrue
"['The', 'cost', 'of', 'eggs', 'has', 'gone', 'up', '700', '.']",barelytrue
"['As', 'president', 'Donald', 'Trump', 'marshaled', 'the', 'full', 'power', 'of', 'government', 'to', 'stop', 'deadly', 'drugs', 'opioids', 'and', 'fentanyl', 'from', 'coming', 'into', 'our', 'country', '.', 'As', 'a', 'result', 'drug', 'overdose', 'deaths', 'declined', 'nationwide', 'for', 'the', 'first', 'time', 'in', 'nearly', '30', 'years', '.']",barelytrue
"['Ray', 'Epps', 'confessed', 'to', 'Jan.', '6', 'Committee', 'he', 'orchestrated', 'attack', 'on', 'Capitol']",barelytrue
"['Joe', 'Biden', 'left', 'Marines', 'behind', 'in', 'Afghanistan', '.', 'And', 'now', 'he', 'left', 'a', 'Marine', 'behind', 'in', 'Russia', '.']",barelytrue
"['Kevin', 'Adams', 'wants', 'to', 'ban', 'abortion', '.']",barelytrue
"['The', 'Virginia', 'GOP', 'education', 'agenda', 'would', 'erase', 'slavery', 'from', 'VA', 'history', '.']",barelytrue
"['The', '2021', 'infrastructure', 'bill', 'requires', 'all', 'new', 'vehicles', 'to', 'have', 'kill', 'switches', 'that', 'will', 'stop', 'vehicle', 'operation', 'and', 'alert', 'law', 'enforcement', 'when', 'drivers', 'are', 'impaired', '.']",barelytrue
"['Wisconsin', 'elementary', 'school', 'students', 'buck', 'national', 'trends', 'in', 'National', 'Report', 'Card', 'release', '.']",barelytrue
"['A', 'lot', 'of', 'the', 'programs', 'that', 'were', 'started', 'during', 'the', 'pandemic', 'are', 'still', 'going', 'even', 'though', 'the', 'pandemic', 'is', 'long', 'over', '.']",barelytrue
"['Photo', 'shows', 'ballots', 'not', 'counted', 'in', 'California', 'and', 'this', 'is', 'only', 'one', 'polling', 'location', '.', 'Yet', 'Gavin', 'Newsom', 'was', 'declared', 'governor', 'minutes', 'after', 'polling', 'stations', 'closed', '.']",barelytrue
"['Raphael', 'Warnock', 'believes', 'in', 'no', 'cash', 'bail', 'and', 'letting', 'people', 'out', 'of', 'prison', 'that', 'are', 'going', 'to', 'make', 'us', 'prisoners', 'in', 'our', 'own', 'home', '.']",barelytrue
"['Californias', 'Proposition', '1', 'includes', 'a', 'right', 'to', 'abortion', 'uptobirth', '.']",barelytrue
"['The', 'U.S.', 'could', 'easily', 'count', 'every', 'vote', 'in', 'every', 'state', 'on', 'election', 'night', 'until', 'a', 'few', 'years', 'ago', '.']",barelytrue
"['We', 'have', 'seen', 'over', 'the', 'last', '10', 'years', '...', 'under', 'Republican', 'governors', 'a', 'rise', 'in', 'the', 'murder', 'rate', 'in', 'Arizona', 'of', '20', '.']",barelytrue
"['We', 'finally', 'achieved', 'that', 'energy', 'independence', 'under', 'the', 'Trump', 'administration', '.', 'President', 'Biden', 'squandered', 'it', 'away', '.']",barelytrue
"['Cheri', 'Beasley', 'backs', 'tax', 'hikes', ' ', 'even', 'on', 'families', 'making', 'under', '$', '75000', '.']",barelytrue
"['Says', 'Gov.', 'Tony', 'Evers', 'would', 'allow', 'the', 'government', 'to', 'use', 'red', 'flag', 'laws', 'to', 'confiscate', 'your', 'firearms', 'without', 'due', 'process', '.']",barelytrue
"['Crime', 'is', 'up', 'under', 'Governor', 'DeSantis', '.', 'Crime', 'was', 'down', 'when', 'I', 'was', 'your', 'governor', '.']",barelytrue
"['Only', 'Democratic', 'cities', 'take', 'days', 'to', 'count', 'their', 'votes', 'while', 'the', 'rest', 'of', 'the', 'country', 'manages', 'to', 'get', 'it', 'done', 'on', 'election', 'night', '.']",barelytrue
"['Blake', 'Masters', 'wants', 'to', 'privatize', 'Social', 'Security', '.']",barelytrue
"['Catherine', 'Cortez', 'Masto', 'was', 'the', 'deciding', 'vote', 'to', 'send', 'COVID19', 'stimulus', 'checks', 'to', 'more', 'than', '1', 'million', 'prisoners', '.']",barelytrue
"['El', 'CDC', 'est', 'a', 'punto', 'de', 'agregar', 'la', 'vacuna', 'Co', 'vid', 'al', 'calendario', 'de', 'vacunacin', 'infantil', 'lo', 'que', 'hara', 'que', 'la', 'vacunacin', 'sea', 'obligatoria', 'para', 'que', 'los', 'nios', 'asistan', 'a', 'la', 'escuela', '.']",barelytrue
"['Val', 'Demings', 'voted', 'with', 'Pelosi', 'to', 'raise', 'taxes', 'over', '$', '4000', 'on', 'Florida', 'families', '.']",barelytrue
"['More', 'than', 'half', 'of', 'the', '$', '739', 'billion', 'tax', 'increase', 'in', 'the', 'Inflation', 'Reduction', 'Act', 'will', 'go', 'to', 'wasteful', 'Green', 'New', 'Deal', 'programs', 'like', 'tree', 'equity', 'clean', 'garbage', 'trucks', 'and', 'studying', 'cow', 'farts', '.']",barelytrue
"['Ted', 'Budd', 'on', 'four', 'separate', 'occasions', 'voted', 'against', 'funding', 'for', 'police', 'here', 'in', 'North', 'Carolina', 'to', 'the', 'tune', 'of', 'more', 'than', '$', '32', 'million', '.']",barelytrue
"['Every', 'single', 'Senate', 'Democrat', 'voted', 'against', 'hiring', 'more', 'border', 'agents', '.', 'They', 'voted', 'against', 'deporting', 'felons', '.', 'And', 'they', 'voted', 'against', 'ending', 'catch', 'and', 'release', '.']",barelytrue
"['Mark', 'Kelly', 'voted', 'to', 'allow', 'prison', 'inmates', 'to', 'receive', 'stimulus', 'checks', 'five', 'separate', 'times', '.']",barelytrue
"['The', 'CDC', 'is', 'about', 'to', 'add', 'the', 'COVID', 'vaccine', 'to', 'the', 'childhood', 'immunization', 'schedule', 'which', 'would', 'make', 'the', 'vax', 'mandatory', 'for', 'kids', 'to', 'attend', 'school', '.']",barelytrue
"['Mandela', 'Barnes', 'came', 'out', 'in', 'favor', 'of', 'abortion', 'up', 'until', 'the', 'moment', 'of', 'birth', '.']",barelytrue
"['Electric', 'vehicles', 'are', 'unaffordable', 'because', 'the', 'average', 'cost', 'of', 'replacing', 'an', 'electric', 'vehicle', 'battery', 'is', 'over', '$', '10000', 'while', 'the', 'average', 'cost', 'of', 'replacing', 'the', 'battery', 'of', 'a', 'gaspowered', 'car', 'is', '$', '100', 'to', '$', '200', '.']",barelytrue
"['In', 'Texas', 'a', 'person', 'can', 'register', 'a', 'dead', 'relative', 'to', 'vote', 'and', 'then', 'cast', 'a', 'mail', 'ballot', 'in', 'their', 'name', '.']",barelytrue
"['Says', 'Tim', 'Michels', 'wants', 'to', 'defund', 'public', 'education', ' ', 'calling', 'it', 'the', 'definition', 'of', 'insanity', 'to', 'continue', 'to', 'fund', 'public', 'schools', '.']",barelytrue
"['As', 'attorney', 'general', 'Catherine', 'Cortez', 'Masto', 'opposed', 'tougher', 'laws', 'on', 'methamphetamine', 'dealers', '.']",barelytrue
"['A', 'study', 'showed', 'mRNA', 'COVID19', 'vaccines', 'are', 'harmful', 'to', 'infants', 'who', 'are', 'breastfeeding', '.']",barelytrue
"['Katie', 'Hobbs', 'voted', 'for', 'allowing', 'a', 'baby', 'who', 'survives', 'an', 'abortion', ' ', 'that', 'the', 'hospital', 'would', 'refuse', 'medical', 'care', 'and', 'allow', 'the', 'baby', 'to', 'die', 'on', 'a', 'cold', 'metal', 'tray', '.']",barelytrue
"['Says', 'Tony', 'Evers', 'is', 'a', 'career', 'politician', '.']",barelytrue
"['$', '12', 'billion', 'more', 'for', 'Ukraine', 'on', 'top', 'of', '$', '100', 'billion', 'while', 'Jackson', 'Mississippi', 'has', 'yet', 'to', 'receive', 'any', 'funding', 'to', 'fix', 'their', 'water', 'infrastructure', '.']",barelytrue
"['Pennsylvania', 'Senate', 'candidate', 'John', 'Fettermans', 'tattoo', 'references', 'heroin', 'use', 'and', 'the', 'Crips']",barelytrue
"['Lee', 'County', 'Florida', 'was', 'nt', 'even', 'in', 'the', 'cone', 'of', 'Hurricane', 'Ian', '72', 'hours', 'before', 'landfall', '.']",barelytrue
"['Raphael', 'Warnock', 'called', 'police', 'thugs', 'then', 'cut', 'their', 'funding', '.']",barelytrue
"['Michigans', 'Proposal', '2', 'will', 'permanently', 'put', 'in', 'the', 'Constitution', 'that', 'you', 'never', 'have', 'to', 'show', 'an', 'ID', 'to', 'vote', 'ever', 'again', '.']",barelytrue
"['Only', '325000', 'American', 'kids', 'out', 'of', '19000000', 'were', 'vaccinated', 'against', 'COVID19', '.']",barelytrue
"['Adam', 'Laxalt', 'took', 'campaign', 'cash', 'from', 'drug', 'companies', 'and', 'used', 'his', 'office', 'to', 'block', 'local', 'attempts', 'at', 'holding', 'one', 'of', 'the', 'worst', 'offenders', 'accountable', '.']",barelytrue
"['Lifeguardfootball', 'player', 'Joe', 'Biden', 'got', 'five', 'draft', 'deferments', 'for', 'asthma', 'during', 'Vietnam', '.']",barelytrue
"['The', 'World', 'Economic', 'Forum', 'has', 'called', 'for', 'the', 'end', 'of', 'wasteful', 'private', 'car', 'ownership', '.']",barelytrue
"['Three', 'court', 'rulings', 'since', 'May', '2022', 'have', 'made', 'it', 'clear', 'that', 'it', 'is', 'unconstitutional', 'to', 'ban', 'someone', 'between', 'the', 'ages', 'of', '18', 'and', '20', 'from', 'being', 'able', 'to', 'buy', 'an', 'AR', '.']",barelytrue
"['With', 'Proposition', '1', 'the', 'number', 'of', 'abortion', 'seekers', 'from', 'other', 'states', 'will', 'soar', 'even', 'higher', 'costing', 'taxpayers', 'millions', 'more', '.']",barelytrue
"['Says', 'Tim', 'Michels', 'family', 'foundation', 'funded', 'an', 'organization', 'that', 'tracks', 'women', 'when', 'they', 'get', 'near', 'abortion', 'clinics', ' ', 'he', 'wants', 'to', 'treat', 'women', 'like', 'they', 're', 'the', 'criminals', '.']",barelytrue
"['90', 'of', 'state', 'Sen.', 'Tom', 'Barretts', 'donors', 'are', 'from', 'special', 'interests']",barelytrue
"['Under', 'Kathy', 'Hoffman', 'student', 'test', 'scores', 'plummeted', '.', 'Even', 'before', 'COVID', 'under', 'the', 'current', 'regime', 'over', 'half', 'of', 'Arizona', 'students', 'were', 'not', 'proficient', 'in', 'reading', 'or', 'math', '.']",barelytrue
"['Image', 'shows', 'a', 'Rebekah', 'Jones', 'campaign', 'event', '.']",barelytrue
"['Incomes', 'are', 'up', '.']",barelytrue
"['Mark', 'Kelly', 'voted', 'against', 'the', 'Keystone', 'pipeline', 'which', 'caused', 'higher', 'gas', 'prices', '.']",barelytrue
"['Val', 'Demings', 'supports', 'abortion', 'up', 'until', 'the', 'moment', 'of', 'birth', '.']",barelytrue
"['Democrats', 'radical', 'green', 'energy', 'policies', 'caused', 'record', 'gas', 'prices', '.']",barelytrue
"['Ron', 'Johnson', 'just', 'came', 'out', 'in', 'favor', 'of', 'a', 'federal', 'abortion', 'ban', '.']",barelytrue
"['FEC', 'charges', 'Beto', 'ORourkes', '2018', 'campaign', 'Illegal', 'Campaign', 'Contributions', '.']",barelytrue
"['With', 'the', 'combined', 'salary', 'of', 'the', '87000', 'new', 'IRS', 'Agents', '$', '81456', 'average', 'annual', 'salary', 'you', 'could', 'put', 'a', 'police', 'officer', '$', '55117', 'in', 'every', 'public', 'school', 'in', 'the', 'nation', '97568', 'and', 'still', 'have', '31007', 'police', 'officers', 'or', '$', '1709012819', 'left', 'over', '.']",barelytrue
"['Tim', 'Ryan', 'called', 'police', 'the', 'new', 'Jim', 'Crow', '.']",barelytrue
"['There', 's', 'an', 'unlimited', 'supply', 'of', 'water', 'being', 'generated', 'deep', 'within', 'the', 'Earth', '.']",barelytrue
"['Gov.', 'Ron', 'DeSantis', 'raised', 'taxes', 'on', 'the', 'middle', 'class', 'by', 'more', 'than', '$', '1.5', 'billion', 'while', 'giving', 'away', '$', '624', 'million', 'to', 'big', 'corporations', '.']",barelytrue
"['60', 'of', 'Alaska', 'voters', 'voted', 'for', 'a', 'Republican', 'but', 'thanks', 'to', 'a', 'convoluted', 'process', 'and', 'ballot', 'exhaustion', ' ', 'which', 'disenfranchises', 'voters', ' ', 'a', 'Democrat', 'won', '.']",barelytrue
"['Says', 'Tim', 'Michels', 'does', 'nt', 'think', 'gay', 'people', 'should', 'be', 'out', 'in', 'public', '.']",barelytrue
"['Three', 'churches', 'were', 'targeted', 'during', 'arson', 'attacks', 'over', 'the', 'summer', 'because', 'they', 'protect', 'unborn', 'babies', 'and', 'women', 'in', 'need', '.']",barelytrue
"['In', 'New', 'York', 'you', 'need', 'to', 'show', 'identification', 'to', 'buy', 'whipped', 'cream', 'but', 'not', 'to', 'vote', '.']",barelytrue
"['Joe', 'Bidens', 'student', 'debt', 'forgiveness', 'plan', 'is', 'a', 'bailout', 'for', 'rich', 'kids', '.']",barelytrue
"['$', '1.5', 'billion', 'of', 'your', 'taxpayer', 'money', 'is', 'sitting', 'in', 'an', 'account', 'that', 'can', 'be', 'used', 'for', 'other', 'purposes', '.']",barelytrue
"['Says', 'Democratic', 'Senate', 'candidate', 'Mandela', 'Barnes', 'supports', 'abolishing', 'ICE', '.']",barelytrue
"['The', 'American', 'Rescue', 'Plan', 'helped', 'create', 'nearly', '10', 'million', 'new', 'jobs', '.']",barelytrue
"['A', 'new', 'Democratic', 'law', 'will', 'make', 'the', 'IRS', 'workforce', 'larger', 'than', 'the', 'Pentagon', 'FBI', 'State', 'Department', 'and', 'Customs', 'and', 'Border', 'Patrol', 'combined', '.']",barelytrue
"['The', 'Inflation', 'Reduction', 'Act', 'doubles', 'the', 'size', 'of', 'the', 'IRS', 'raises', 'your', 'taxes', 'and', 'spends', 'billions', 'on', 'a', 'green', 'energy', 'slush', 'fund', '.']",barelytrue
"['The', 'IRS', 'is', 'about', 'to', 'double', 'in', 'size', 'with', '87000', 'new', 'armed', 'agents', 'and', 'an', 'additional', '$', '80', 'billion', 'in', 'order', 'to', 'primarily', 'enhance', 'IRS', 'enforcement', 'and', 'operations', '.']",barelytrue
"['The', 'IRS', 'is', 'adding', '87000', 'new', 'agents', 'making', 'the', 'IRS', 'larger', 'than', 'the', 'Pentagon', 'Federal', 'Bureau', 'of', 'Investigation', 'Customs', 'and', 'Border', 'Protection', 'and', 'the', 'State', 'Department', 'combined', '.']",barelytrue
"['Democrats', 'are', 'voting', 'to', 'add', 'an', 'army', 'of', '87000', 'IRS', 'agents', 'who', 'will', 'target', 'middle', 'class', 'taxpayers', 'and', 'conduct', 'at', 'least', '1', 'million', 'more', 'audits', 'each', 'year', '.']",barelytrue
"['Governor', 'Tony', 'Evers', 'gave', 'counties', 'the', 'green', 'light', 'to', 'defund', 'Wisconsins', 'police', 'departments', '.']",barelytrue
"['Democrats', 'new', 'army', 'of', '87000', 'IRS', 'agents', 'will', 'be', 'coming', 'for', 'you', ' ', 'with', '710000', 'new', 'audits', 'for', 'Americans', 'who', 'earn', 'less', 'than', '$', '75k', '.']",barelytrue
"['They', 'are', 'literally', 'chopping', 'off', 'the', 'private', 'parts', 'of', 'young', 'kids', '.']",barelytrue
"['Tim', 'Michels', 'pushed', 'for', 'years', 'to', 'raise', 'Wisconsins', 'gas', 'tax', '.']",barelytrue
"['John', 'Fetterman', 'wants', 'to', 'eliminate', 'life', 'sentences', 'for', 'murderers', '.']",barelytrue
"['There', 'is', 'absolutely', 'no', 'reason', 'why', 'Wisconsin', 'should', 'be', 'facing', 'a', 'worker', 'shortage', 'to', 'the', 'level', 'we', 'are', 'when', 'there', 'are', '123000', 'more', 'ablebodied', 'childless', 'adults', 'on', 'BadgerCare', 'since', 'the', 'pandemic', '.']",barelytrue
"['Sen.', 'Mark', 'Kelly', 'voted', 'to', 'legalize', 'abortion', 'up', 'until', 'the', 'moment', 'of', 'birth', '.']",barelytrue
"['The', 'Democrats', 'Womens', 'Health', 'Protection', 'Act', 'of', '2022', 'would', 'permit', 'abortion', 'up', 'until', 'delivery', '.']",barelytrue
"['The', 'legislature', 'has', 'long', 'maintained', 'that', 'the', 'law', 'never', 'allowed', 'these', 'illegal', 'drop', 'boxes', '.']",barelytrue
"['North', 'Carolina', 'GOP', 'is', 'reintroducing', 'a', 'bill', 'that', 'says', 'life', 'begins', 'at', 'conception', 'and', 'anyone', 'who', 'destroys', 'that', 'fertilized', 'egg', 'is', 'guilty', 'of', 'firstdegree', 'murder', '.']",barelytrue
"['Ron', 'DeSantis', 'opposes', 'any', 'background', 'checks', 'on', 'guns', 'even', 'for', 'violent', 'criminals', '.']",barelytrue
"['Virginia', 'now', 'has', 'the', 'most', 'liberal', 'abortion', 'laws', 'in', 'the', 'world', '.']",barelytrue
"['38000', 'Texans', 'had', 'their', 'license', 'to', 'carry', 'denied', 'revoked', 'or', 'suspended', 'over', 'the', 'last', 'five', 'years', 'because', 'law', 'enforcement', 'deemed', 'them', 'too', 'dangerous', 'to', 'carry', 'a', 'loaded', 'gun', 'in', 'public', '.', 'But', 'thanks', 'to', 'Greg', 'Abbotts', 'new', 'law', 'they', 'do', 'nt', 'need', 'a', 'license', 'to', 'carry', 'anymore', '.']",barelytrue
"['John', 'Fetterman', 'wants', 'to', 'release', 'onethird', 'of', 'dangerous', 'criminals', 'back', 'into', 'our', 'communities', '.']",barelytrue
"['The', 'cancellation', 'of', 'the', 'Keystone', 'XL', 'pipeline', 'by', 'Joe', 'Biden', 'killed', 'hundreds', 'of', 'jobs', 'sent', 'gas', 'prices', 'way', 'up', '.']",barelytrue
